#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-09-29
# Final Processing Time: 10:35:07
# Spline RMSE gcc_mean: 0.00291
# Spline RMSE gcc_50: 0.00291
# Spline RMSE gcc_75: 0.00304
# Spline RMSE gcc_90: 0.00342
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,falling,gcc_mean,2021-11-03,2021-10-31,2021-10-25,2021-11-04,2021-11-01,2021-10-27,2021-11-01,2021-10-30,2021-10-23,0.31061,0.32473,0.34986,0.30354,0.39607
harvardbarn,DB,1000,falling,gcc_mean,2020-10-23,2020-10-20,2020-10-15,2020-10-24,2020-10-21,2020-10-16,2020-10-21,2020-10-18,2020-10-14,0.31079,0.32137,0.34797,0.30324,0.39245
harvardbarn,DB,1000,falling,gcc_mean,2019-10-24,2019-10-22,2019-10-15,2019-10-25,2019-10-23,2019-10-17,2019-10-23,2019-10-20,2019-10-14,0.29733,0.30847,0.33817,0.29082,0.37828
harvardbarn,DB,1000,falling,gcc_mean,2018-10-31,2018-10-28,2018-10-21,2018-11-01,2018-10-29,2018-10-24,2018-10-30,2018-10-27,2018-10-18,0.30837,0.32046,0.34223,0.30086,0.38223
harvardbarn,DB,1000,falling,gcc_mean,2017-11-06,2017-11-03,2017-10-28,2017-11-07,2017-11-04,2017-10-29,2017-11-04,2017-11-01,2017-10-27,0.29907,0.31319,0.33627,0.29461,0.37694
harvardbarn,DB,1000,falling,gcc_mean,2016-11-03,2016-11-01,2016-10-26,2016-11-04,2016-11-02,2016-10-28,2016-11-02,2016-10-30,2016-10-25,0.29289,0.30283,0.33172,0.2849,0.3747
harvardbarn,DB,1000,falling,gcc_mean,2015-10-28,2015-10-25,2015-10-18,2015-10-29,2015-10-26,2015-10-20,2015-10-26,2015-10-24,2015-10-17,0.29667,0.31107,0.3381,0.29145,0.38019
harvardbarn,DB,1000,falling,gcc_mean,2014-10-26,2014-10-23,2014-10-16,2014-10-27,2014-10-24,2014-10-18,2014-10-24,2014-10-21,2014-10-15,0.29883,0.31189,0.33836,0.29241,0.37825
harvardbarn,DB,1000,falling,gcc_mean,2013-10-23,2013-10-20,2013-10-12,2013-10-24,2013-10-21,2013-10-14,2013-10-21,2013-10-18,2013-10-11,0.29491,0.3046,0.33036,0.28805,0.36821
harvardbarn,DB,1000,falling,gcc_mean,2012-10-19,2012-10-17,2012-10-13,2012-10-20,2012-10-18,2012-10-14,2012-10-18,2012-10-16,2012-10-12,0.29607,0.3059,0.32796,0.28839,0.36695
